id_ocorrencia_t;tipo
43668;EXCURSAO DE PISTA
43671;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43678;ESTOURO DE PNEU
43680;ESTOURO DE PNEU
43684;FALHA DO MOTOR EM VOO
43685;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43692;FALHA DO MOTOR EM VOO
43697;CORTE INVOLUNTARIO DO MOTOR
43699;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43700;PERDA DE CONTROLE NO SOLO
43702;FALHA DO MOTOR EM VOO
43703;PERDA DE CONTROLE NO SOLO
43704;FALHA ESTRUTURAL
43705;VOO CONTROLADO CONTRA O TERRENO
43706;FALHA DO MOTOR EM VOO
43707;FALHA DO MOTOR EM VOO
43711;OUTROS
43715;VAZAMENTO DE COMBUSTIVEL
43719;PERDA DE CONTROLE EM VOO
43721;COM TREM DE POUSO
43721;EXCURSAO DE PISTA
43722;PERDA DE CONTROLE NO SOLO
43724;COLISAO COM OBSTACULOS NO SOLO
43725;PERDA DE CONTROLE NO SOLO
43726;PERDA DE CONTROLE EM VOO
43727;PERDA DE CONTROLE NO SOLO
43729;INDETERMINADO
43730;COM TREM DE POUSO
43731;FALHA DO MOTOR EM VOO
43732;COLISAO COM OBSTACULOS NO SOLO
43733;COLISAO COM AERONAVE NO SOLO
43735;COM PARA-BRISAS / JANELA / PORTA
43738;ESTOURO DE PNEU
43742;OUTROS
43752;OUTROS
43754;COLISAO COM AVE
43764;PERDA DE CONTROLE NO SOLO
43767;COLISAO COM AVE
43774;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43775;PERDA DE CONTROLE EM VOO
43776;PERDA DE CONTROLE NO SOLO
43778;FALHA DO MOTOR EM VOO
43779;ESTOURO DE PNEU
43790;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43793;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43794;PERDA DE CONTROLE EM VOO
43802;TRAFEGO AEREO
43806;ESTOURO DE PNEU
43808;VOO CONTROLADO CONTRA O TERRENO
43809;OPERACAO A BAIXA ALTITUDE
43811;POUSO SEM TREM
43812;PERDA DE CONTROLE NO SOLO
43814;PANE SECA
43817;COLISAO COM AVE
43818;COLISAO COM AVE
43819;COLISAO COM AVE
43820;PANE SECA
43828;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43829;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43831;COLISAO COM AVE
43832;PERDA DE CONTROLE EM VOO
43836;COLISAO COM AVE
43837;COM LANCAMENTO DE CARGA
43838;COLISAO COM AVE
43842;PERDA DE CONTROLE NO SOLO
43869;COLISAO DE AERONAVES EM VOO
43870;COM TREM DE POUSO
43871;COLISAO COM AVE
43872;COLISAO COM OBSTACULOS NO SOLO
43873;ESTOURO DE PNEU
43874;PERDA DE CONTROLE NO SOLO
43875;CORTE INVOLUNTARIO DO MOTOR
43876;COLISAO COM AVE
43885;COLISAO COM AVE
43894;FALHA DO MOTOR EM VOO
43895;ESTOURO DE PNEU
43899;COM TREM DE POUSO
43900;POUSO EM LOCAL NAO PREVISTO
43901;EXCURSAO DE PISTA
43901;FALHA DO MOTOR EM VOO
43903;PERDA DE CONTROLE NO SOLO
43904;FALHA DO MOTOR EM VOO
43906;PERDA DE CONTROLE EM VOO
43908;OPERACAO A BAIXA ALTITUDE
43909;PERDA DE CONTROLE EM VOO
43910;POUSO EM LOCAL NAO PREVISTO
43911;PERDA DE CONTROLE EM VOO
43912;F.O.D.
43913;FALHA DO MOTOR EM VOO
43914;FALHA DO MOTOR EM VOO
43915;POUSO LONGO
43921;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43945;COLISAO COM AVE
43946;COLISAO COM AVE
43973;PERDA DE CONTROLE NO SOLO
43975;TRAFEGO AEREO
43977;FALHA DO MOTOR EM VOO
43978;POUSO LONGO
43979;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43980;OUTROS
43981;OUTROS
43983;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43984;PANE SECA
43986;COM ROTOR
43988;PANE SECA
43989;FALHA DO MOTOR EM VOO
43992;COM TREM DE POUSO
43994;FALHA DO MOTOR EM VOO
43998;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
44001;COM TREM DE POUSO
44003;FALHA DO MOTOR EM VOO
44004;TRAFEGO AEREO
44005;TRAFEGO AEREO
44007;TRAFEGO AEREO
44008;OUTROS
44009;TRAFEGO AEREO
44011;TRAFEGO AEREO
44012;FALHA DO MOTOR EM VOO
44014;OUTROS
44017;ESTOURO DE PNEU
44022;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
