id_ocorrencia;classificacao;cidade;uf;pais;data;num_recomendacoes
40291;INCIDENTE;CONFINS;MG;BRASIL;2010-04-03T20:25:00Z;0
40292;INCIDENTE;CAMPINAS;SP;BRASIL;2010-04-08T20:30:00Z;0
40293;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-04-18T16:23:00Z;0
40294;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-04-16T20:00:00Z;0
40295;INCIDENTE;RIO BRANCO;AC;BRASIL;2010-04-11T19:20:00Z;0
40296;INCIDENTE;CURITIBA;PR;BRASIL;2010-02-26T22:32:00Z;0
40307;INCIDENTE;BELEM;PA;BRASIL;2010-03-16T20:00:00Z;0
40310;INCIDENTE;CRUZEIRO DO SUL;AC;BRASIL;2010-01-18T19:32:00Z;0
40311;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-01-19T13:20:00Z;0
40312;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;2010-03-09T19:18:00Z;0
40314;INCIDENTE;SAO PAULO;SP;BRASIL;2010-03-04T23:50:00Z;0
40316;INCIDENTE GRAVE;TIMOTEO;MG;BRASIL;2010-02-26T14:40:00Z;3
40318;INCIDENTE;JUIZ DE FORA;MG;BRASIL;2010-02-22T13:47:00Z;0
40320;INCIDENTE;GUARULHOS;SP;BRASIL;2010-03-15T09:57:00Z;0
40321;INCIDENTE;LONDRINA;PR;BRASIL;2010-04-20T16:11:00Z;0
40322;INCIDENTE;BELEM;PA;BRASIL;2010-03-15T18:15:00Z;0
40323;INCIDENTE;SAO PAULO;SP;BRASIL;2010-04-15T20:20:00Z;0
40324;INCIDENTE;PELOTAS;RS;BRASIL;2010-01-05T19:25:00Z;0
40325;INCIDENTE GRAVE;EXU;PE;BRASIL;2010-02-19T10:20:00Z;0
40326;INCIDENTE;RECIFE;PE;BRASIL;2010-03-31T15:20:00Z;0
40327;INCIDENTE;PORTO ALEGRE;RS;BRASIL;2010-04-12T13:13:00Z;0
40328;ACIDENTE;CORRENTINA;BA;BRASIL;2010-04-15T17:25:00Z;0
40329;INCIDENTE;SAO PAULO;SP;BRASIL;2010-03-18T12:10:00Z;0
40330;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-03-24T11:35:00Z;0
40331;INCIDENTE;CAMPINAS;SP;BRASIL;2010-02-28T09:00:00Z;0
40332;INCIDENTE;MACAE;RJ;BRASIL;2010-03-20T21:58:00Z;0
40349;INCIDENTE;BELEM;PA;BRASIL;2010-01-03T11:05:00Z;0
40350;INCIDENTE GRAVE;UIRAMUTA;RR;BRASIL;2010-04-17T20:30:00Z;0
40351;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-01-03T03:00:00Z;0
40352;INCIDENTE;CUIABA;MT;BRASIL;2010-04-16T20:50:00Z;0
40412;ACIDENTE;MACAPA;AP;BRASIL;2010-04-16T21:55:00Z;0
40413;INCIDENTE;MACAE;RJ;BRASIL;2010-04-18T18:25:00Z;0
40414;INCIDENTE;BRASILIA;DF;BRASIL;2010-01-10T03:00:00Z;0
40447;ACIDENTE;MANGARATIBA;RJ;BRASIL;2010-04-21T18:55:00Z;0
40489;INCIDENTE;CAMPINAS;SP;BRASIL;2010-04-21T17:01:00Z;0
40508;INCIDENTE;BELO HORIZONTE;MG;BRASIL;2010-04-21T14:44:00Z;0
40554;ACIDENTE;RESENDE;RJ;BRASIL;2010-04-27T18:47:00Z;8
40572;ACIDENTE;PORTO ALEGRE;RS;BRASIL;2010-04-28T14:10:00Z;0
40573;INCIDENTE GRAVE;ITAPETINGA;BA;BRASIL;2010-05-01T15:40:00Z;2
40575;INCIDENTE;MANAUS;AM;BRASIL;2010-05-01T16:15:00Z;0
40576;INCIDENTE;MACAE;RJ;BRASIL;2010-04-21T18:37:00Z;0
40577;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;2010-04-21T12:52:00Z;0
40579;INCIDENTE;CURITIBA;PR;BRASIL;2010-05-04T13:00:00Z;0
40581;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-04-21T13:20:00Z;0
40583;INCIDENTE;SALVADOR;BA;BRASIL;2010-04-30T16:35:00Z;1
40617;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-01-27T20:06:00Z;0
40620;INCIDENTE GRAVE;GUARULHOS;SP;BRASIL;2010-05-06T15:50:00Z;0
40621;INCIDENTE GRAVE;POCOS DE CALDAS;MG;BRASIL;2010-05-05T21:05:00Z;0
40622;INCIDENTE;BELEM;PA;BRASIL;2010-05-05T17:10:00Z;0
40623;INCIDENTE;BELO HORIZONTE;MG;BRASIL;2010-04-30T09:55:00Z;0
40624;INCIDENTE;SAO LUIS;MA;BRASIL;2010-05-06T17:05:00Z;0
40652;INCIDENTE GRAVE;CUIABA;MT;BRASIL;2010-04-30T19:00:00Z;0
40732;INCIDENTE GRAVE;CAMACARI;BA;BRASIL;2010-05-08T15:05:00Z;5
40774;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-05-01T02:10:00Z;0
40791;INCIDENTE;MANAUS;AM;BRASIL;2010-05-07T10:28:00Z;0
40793;ACIDENTE;PORTO NACIONAL;TO;BRASIL;2010-05-07T16:41:00Z;3
40819;INCIDENTE;NIQUELANDIA;GO;BRASIL;2010-04-28T18:30:00Z;0
40821;INCIDENTE;MANICORE;AM;BRASIL;2010-05-05T09:32:00Z;0
40823;INCIDENTE GRAVE;PALMAS;PR;BRASIL;2010-09-09T18:50:00Z;0
40825;INCIDENTE;BELO HORIZONTE;MG;BRASIL;2010-05-06T18:48:00Z;0
40826;INCIDENTE;MARILIA;SP;BRASIL;2010-04-12T13:00:00Z;0
40827;INCIDENTE;PENAPOLIS;SP;BRASIL;2010-03-30T20:45:00Z;0
40834;INCIDENTE;ILHEUS;BA;BRASIL;2010-05-10T23:55:00Z;0
40835;INCIDENTE;UBERABA;MG;BRASIL;2010-05-08T13:14:00Z;0
40837;INCIDENTE;CUIABA;MT;BRASIL;2010-05-07T22:17:00Z;0
40839;ACIDENTE;ITAPOLIS;SP;BRASIL;2010-05-10T20:30:00Z;0
40842;INCIDENTE;SAO PAULO;SP;BRASIL;2010-05-04T18:00:00Z;0
40843;ACIDENTE;LUCAS DO RIO VERDE;MT;BRASIL;2010-05-08T18:30:00Z;0
40853;INCIDENTE;MARILIA;SP;BRASIL;2010-05-14T18:25:00Z;0
40855;ACIDENTE;MANAUS;AM;BRASIL;2010-05-13T18:58:00Z;4
40933;ACIDENTE;CACERES;MT;BRASIL;2010-05-15T20:40:00Z;0
41053;ACIDENTE;CASCAVEL;PR;BRASIL;2010-05-19T08:10:00Z;2
41054;INCIDENTE;MONTE ALEGRE;PA;BRASIL;2010-05-18T14:55:00Z;0
41132;INCIDENTE;SAO PAULO;SP;BRASIL;2010-05-20T03:00:00Z;0
41155;ACIDENTE;JUNDIAI;SP;BRASIL;2010-05-20T19:35:00Z;5
41172;INCIDENTE;PARAUAPEBAS;PA;BRASIL;2010-05-22T19:02:00Z;0
41174;INCIDENTE;MACEIO;AL;BRASIL;2010-05-18T21:50:00Z;0
41177;ACIDENTE;GOIANIA;GO;BRASIL;2010-05-20T20:05:00Z;0
41178;INCIDENTE;CAMPINAS;SP;BRASIL;2010-05-21T15:40:00Z;0
41179;INCIDENTE GRAVE;BRASILIA;DF;BRASIL;2010-05-20T22:20:00Z;8
41181;INCIDENTE;CASCAVEL;PR;BRASIL;2010-02-25T11:17:00Z;0
41224;INCIDENTE;GOIANIA;GO;BRASIL;2010-05-26T15:50:00Z;0
41235;INCIDENTE;BRASILIA;DF;BRASIL;2010-05-23T15:35:00Z;0
41236;ACIDENTE;FELIZ DESERTO;AL;BRASIL;2010-05-29T09:55:00Z;3
41252;INCIDENTE;SAO LUIS;MA;BRASIL;2010-05-26T14:10:00Z;0
41272;INCIDENTE;FORTALEZA;CE;BRASIL;2010-05-29T19:38:00Z;0
41274;ACIDENTE;BOCAINA;SP;BRASIL;2010-05-27T12:00:00Z;0
41374;ACIDENTE;CORRENTINA;BA;BRASIL;2010-05-26T14:00:00Z;9
41375;INCIDENTE;BRASILIA;DF;BRASIL;2010-05-29T15:45:00Z;0
41376;INCIDENTE;PORTO SEGURO;BA;BRASIL;2010-05-29T13:50:00Z;0
41377;ACIDENTE;SERRA NEGRA;SP;BRASIL;2010-02-14T17:30:00Z;0
41378;INCIDENTE;COARI;AM;BRASIL;2010-06-02T19:00:00Z;0
41392;INCIDENTE;LONDRINA;PR;BRASIL;2010-06-04T11:42:00Z;0
41393;INCIDENTE;LONDRINA;PR;BRASIL;2010-05-17T11:15:00Z;0
41394;INCIDENTE;GUARULHOS;SP;BRASIL;2010-06-04T01:05:00Z;0
41409;INCIDENTE;BAGE;RS;BRASIL;2010-05-17T14:20:00Z;0
41411;INCIDENTE GRAVE;SAO PAULO;SP;BRASIL;2010-06-08T19:30:00Z;2
41480;INCIDENTE;SAO JOSE DOS PINHAIS;PR;BRASIL;2010-06-08T23:07:00Z;1
41481;INCIDENTE;CONFINS;MG;BRASIL;2010-06-02T01:00:00Z;0
41482;ACIDENTE;TRES FORQUILHAS;RS;BRASIL;2010-06-03T16:15:00Z;0
41484;INCIDENTE;BRASILIA;DF;BRASIL;2010-06-02T12:20:00Z;0
41485;INCIDENTE;MANICORE;AM;BRASIL;2010-05-15T12:00:00Z;0
41487;INCIDENTE;JOINVILLE;SC;BRASIL;2010-06-07T12:50:00Z;0
41488;ACIDENTE;AQUIRAZ;CE;BRASIL;2010-06-13T12:50:00Z;0
41551;INCIDENTE;MANAUS;AM;BRASIL;2010-06-15T15:20:00Z;0
41552;ACIDENTE;NOVA MAMORE;RO;BRASIL;2010-06-14T14:25:00Z;9
41553;INCIDENTE;CONFINS;MG;BRASIL;2010-06-13T10:03:00Z;0
41569;ACIDENTE;SAO FELIX DO XINGU;PA;BRASIL;2010-06-12T23:30:00Z;0
41571;INCIDENTE;SAO PAULO;SP;BRASIL;2010-06-17T22:30:00Z;0
41573;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-05-13T16:10:00Z;0
41574;INCIDENTE;JUIZ DE FORA;MG;BRASIL;2010-05-14T23:57:00Z;0
41577;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-01-19T12:16:00Z;0
41578;INCIDENTE GRAVE;NOVA XAVANTINA;MT;BRASIL;2010-06-15T20:45:00Z;1
41579;INCIDENTE;SANTA ROSA DO PURUS;AC;BRASIL;2010-06-09T13:55:00Z;0
41589;INCIDENTE;SAO PAULO;SP;BRASIL;2010-06-15T00:38:00Z;0
41591;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-06-10T17:30:00Z;0
41592;INCIDENTE;FORTALEZA;CE;BRASIL;2010-06-10T03:00:00Z;0
41595;INCIDENTE;PETROLINA;PE;BRASIL;2010-06-13T15:00:00Z;0
41609;INCIDENTE;ARACAJU;SE;BRASIL;2010-06-24T03:36:00Z;0
41610;INCIDENTE;NAVEGANTES;SC;BRASIL;2010-04-29T10:52:00Z;0
41629;INCIDENTE;SAO JOSE DOS CAMPOS;SP;BRASIL;2010-05-04T13:19:00Z;0
41649;INCIDENTE;SAO PAULO;SP;BRASIL;2010-05-12T19:52:00Z;0
41655;INCIDENTE;SAO PAULO;SP;BRASIL;2010-06-20T17:40:00Z;0
41661;INCIDENTE;CAMPINAS;SP;BRASIL;2010-06-03T13:00:00Z;0
41664;INCIDENTE;BRASILIA;DF;BRASIL;2010-06-21T17:23:00Z;0
41665;INCIDENTE;MARABA;PA;BRASIL;2010-05-11T18:32:00Z;0
41670;INCIDENTE GRAVE;IPATINGA;MG;BRASIL;2010-06-28T12:45:00Z;0
41672;INCIDENTE;RIBEIRAO PRETO;SP;BRASIL;2010-06-27T12:30:00Z;0
41676;INCIDENTE;BRASILIA;DF;BRASIL;2010-06-10T17:27:00Z;0
41678;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-06-19T19:05:00Z;0
41680;INCIDENTE;BELO HORIZONTE;MG;BRASIL;2010-06-19T13:06:00Z;0
41682;INCIDENTE;GUARULHOS;SP;BRASIL;2010-06-05T19:12:00Z;0
41684;INCIDENTE;BRASILIA;DF;BRASIL;2010-06-21T17:00:00Z;0
41729;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-06-25T13:05:00Z;0
41749;ACIDENTE;RECIFE;PE;BRASIL;2010-07-04T20:20:00Z;1
41750;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-07-12T19:53:00Z;3
41751;ACIDENTE;CAMANDUCAIA;MG;BRASIL;2010-07-10T18:20:00Z;9
41789;ACIDENTE;PACO DO LUMIAR;MA;BRASIL;2010-07-10T13:39:00Z;4
41829;ACIDENTE;JUNDIAI;SP;BRASIL;2010-06-29T19:20:00Z;2
41832;INCIDENTE GRAVE;RONDONOPOLIS;MT;BRASIL;2010-07-05T22:00:00Z;0
41834;INCIDENTE GRAVE;PONTA GROSSA;PR;BRASIL;2010-07-10T20:35:00Z;5
41837;INCIDENTE;OLINDA;PE;BRASIL;2010-07-11T11:50:00Z;8
41840;INCIDENTE;SALVADOR;BA;BRASIL;2010-06-23T15:29:00Z;0
41844;INCIDENTE;SALVADOR;BA;BRASIL;2010-07-12T11:46:00Z;0
41845;INCIDENTE;UBERLANDIA;MG;BRASIL;2010-07-05T10:35:00Z;0
41850;INCIDENTE GRAVE;PALMAS;TO;BRASIL;2010-07-15T17:00:00Z;1
41852;INCIDENTE;GUARULHOS;SP;BRASIL;2010-06-25T21:30:00Z;0
41854;INCIDENTE;SALVADOR;BA;BRASIL;2010-06-17T09:31:00Z;0
41898;INCIDENTE GRAVE;SANTO ANGELO;RS;BRASIL;2010-06-27T17:45:00Z;2
41899;INCIDENTE;LONDRINA;PR;BRASIL;2010-07-16T23:28:00Z;0
41900;ACIDENTE;NOVO HORIZONTE;SP;BRASIL;2010-07-16T19:20:00Z;3
41902;INCIDENTE;BRASILIA;DF;BRASIL;2010-07-04T21:00:00Z;0
41904;INCIDENTE;CAMPO LIMPO DE GOIAS;GO;BRASIL;2010-07-14T20:00:00Z;0
41908;INCIDENTE;CAMPINAS;SP;BRASIL;2010-06-13T12:45:00Z;0
41909;INCIDENTE;COARI;AM;BRASIL;2010-06-27T12:20:00Z;0
41910;INCIDENTE;NAVEGANTES;SC;BRASIL;2010-06-25T11:45:00Z;0
41913;INCIDENTE;SALVADOR;BA;BRASIL;2010-07-02T17:25:00Z;0
41914;INCIDENTE;MARILIA;SP;BRASIL;2010-07-07T18:07:00Z;0
41915;INCIDENTE;SALVADOR;BA;BRASIL;2010-06-18T09:37:00Z;0
41916;ACIDENTE;SANTO ANTONIO DO LEVERGER;MT;BRASIL;2010-07-18T16:00:00Z;0
41917;ACIDENTE;BRASILIA;DF;BRASIL;2010-07-19T18:30:00Z;1
41939;INCIDENTE;CONFINS;MG;BRASIL;2010-03-22T03:00:00Z;0
41960;ACIDENTE;PALMAS;TO;BRASIL;2010-07-20T15:00:00Z;1
41973;INCIDENTE;BRASILIA;DF;BRASIL;2010-07-21T16:15:00Z;0
41976;INCIDENTE;RIO BRANCO;AC;BRASIL;2010-07-23T08:08:00Z;0
41984;INCIDENTE;GOIANIA;GO;BRASIL;2010-07-08T15:24:00Z;0
41985;INCIDENTE;ITAJAI;SC;BRASIL;2010-07-07T16:12:00Z;0
41986;INCIDENTE;GUARULHOS;SP;BRASIL;2010-03-11T03:00:00Z;0
41988;INCIDENTE;SAO JOSE DOS PINHAIS;PR;BRASIL;2010-03-12T03:00:00Z;0
